Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
74hc4067,CD74HC4067M,SSOP-24_5.3x8.2mm_P0.65mm,86.8,-113.2,90,top
C1,100nF,C_0603_1608Metric,66.475,-79.6,180,top
C2,100nF,C_0603_1608Metric,100.4,-76.6,90,top
C3,100nF,C_0603_1608Metric,133.1,-76.9,90,top
C4,100nF,C_0603_1608Metric,165.2,-75.9,90,top
C5,100nF,C_0603_1608Metric,61.575,-104.3,180,top
C6,100nF,C_0603_1608Metric,100.48,-108.985,90,top
C7,100nF,C_0603_1608Metric,133.1,-109.075,90,top
C8,100nF,C_0603_1608Metric,164.515,-113.1,180,top
C9,100nF,C_0603_1608Metric,68.295,-141.37,90,top
C10,100nF,C_0603_1608Metric,100.6,-141.075,90,top
C11,100nF,C_0603_1608Metric,131.425,-144.5,0,top
C12,100nF,C_0603_1608Metric,162.935,-144.52,180,top
C13,100nF,C_0603_1608Metric,69.5,-173.825,90,top
C14,100nF,C_0603_1608Metric,98.185,-177.31,180,top
C15,100nF,C_0603_1608Metric,133,-173.5,90,top
C16,100nF,C_0603_1608Metric,165.7,-173.995,90,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,63.3,-75.7,180,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.8,-75.7,180,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.3,-75.7,180,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,160.8,-75.7,180,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,63.4,-108.1,180,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.9,-108.1,180,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.4,-108.1,180,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163,-108.4,180,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,63.4,-140.6,180,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.9,-140.6,180,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.4,-140.6,180,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,160.9,-140.6,180,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,63.4,-173.1,180,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.9,-173.1,180,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.4,-173.1,180,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,160.9,-173.1,180,top
