Designator,Val,Package,Mid x,Mid y,Rotation,Layer
C1,100NF,C_0603_1608Metric,75,-60.5,0,top
C2,100NF,C_0603_1608Metric,100,-60.5,0,top
C3,100NF,C_0603_1608Metric,125.225,-60.5,0,top
C4,100NF,C_0603_1608Metric,150.5,-60.5,180,top
C5,100NF,C_0603_1608Metric,75.11,-84.64,180,top
C6,100NF,C_0603_1608Metric,100.61,-84.64,0,top
C7,100NF,C_0603_1608Metric,125.61,-84.64,0,top
C8,100NF,C_0603_1608Metric,150.61,-84.64,0,top
C9,100NF,C_0603_1608Metric,150.16,-184.54,0,top
C10,100NF,C_0603_1608Metric,150,-210.03,0,top
C11,100NF,C_0603_1608Metric,75.28,-135.2,0,top
C12,100NF,C_0603_1608Metric,100.28,-135.2,0,top
C13,100NF,C_0603_1608Metric,125.28,-135.2,0,top
C14,100NF,C_0603_1608Metric,150.78,-134.7,0,top
C15,100NF,C_0603_1608Metric,74.87,-159.84,0,top
C16,100NF,C_0603_1608Metric,99.87,-159.84,0,top
C17,100NF,C_0603_1608Metric,125.37,-159.84,0,top
C18,100NF,C_0603_1608Metric,150.37,-159.84,0,top
C19,100NF,C_0603_1608Metric,75,-184.56,0,top
C20,100NF,C_0603_1608Metric,100,-185.06,0,top
C21,100NF,C_0603_1608Metric,125,-184.56,0,top
C22,100NF,C_0603_1608Metric,74.9,-210.03,0,top
C23,100NF,C_0603_1608Metric,99.9,-210.03,0,top
C24,100NF,C_0603_1608Metric,125.4,-210.03,0,top
C_ENC_1,10NF,C_0603_1608Metric,101.3,-110.4,270,top
C_ENC_2,10NF,C_0603_1608Metric,125.5,-110.3,270,top
C_MUX_1,100NF,C_0603_1608Metric,172,-95,270,top
C_MUX_2,100NF,C_0603_1608Metric,172,-185,270,top
C_PWR_1,330NF,C_0603_1608Metric,106,-31.5,180,top
C_PWR_2,100NF,C_0603_1608Metric,105.5,-36,180,top
D2,WS2812B,WS2812B-mini-V3,100,-50,180,top
D3,WS2812B,WS2812B-mini-V3,125,-50,180,top
D4,WS2812B,WS2812B-mini-V3,150,-50,180,top
D5,WS2812B,WS2812B-mini-V3,75,-75,180,top
D6,WS2812B,WS2812B-mini-V3,100,-75,180,top
D7,WS2812B,WS2812B-mini-V3,125,-75,180,top
D8,WS2812B,WS2812B-mini-V3,150,-75,180,top
D9,WS2812B,WS2812B-mini-V3,150,-175,180,top
D10,WS2812B,WS2812B-mini-V3,150,-200,180,top
D11,WS2812B,WS2812B-mini-V3,75,-125,180,top
D12,WS2812B,WS2812B-mini-V3,100,-125,180,top
D13,WS2812B,WS2812B-mini-V3,125,-125,180,top
D14,WS2812B,WS2812B-mini-V3,150,-125,180,top
D15,WS2812B,WS2812B-mini-V3,75,-150,180,top
D16,WS2812B,WS2812B-mini-V3,100,-150,180,top
D17,WS2812B,WS2812B-mini-V3,125,-150,180,top
D18,WS2812B,WS2812B-mini-V3,150,-150,180,top
D19,WS2812B,WS2812B-mini-V3,75,-175,180,top
D20,WS2812B,WS2812B-mini-V3,100,-175,180,top
D21,WS2812B,WS2812B-mini-V3,125,-175,180,top
D22,WS2812B,WS2812B-mini-V3,75,-200,180,top
D23,WS2812B,WS2812B-mini-V3,100,-200,180,top
D24,WS2812B,WS2812B-mini-V3,125,-200,180,top
D_1,WS2812B,WS2812B-mini-V3,75,-50,180,top
DIODE1,1N4007,D_SMA_Handsoldering,125,-35,0,top
MUX_1,CD74HC4067M_2,SSOP-24_5.3x8.2mm_P0.65mm,168,-88,270,top
MUX_2,CD74HC4067M_2,SSOP-24_5.3x8.2mm_P0.65mm,168,-178,270,top
R1,1M,R_0603_1608Metric,167.6,-60.74,270,top
R2,10K,R_0603_1608Metric,103.55,-110.45,90,top
R3,10K,R_0603_1608Metric,105.69,-110.66,90,top
R4,10K,R_0603_1608Metric,122,-110.3,90,top
R5,10K,R_0603_1608Metric,123.7,-110.3,270,top
R19,330,R_0603_1608Metric,81.16,-59.87,90,top
TENSION_REG1,L7805,TO-252-2,113.5,-33.5,0,top
